,id,latitude,longitude,status_group
3,67743,-11.15529772,38.48616088,non functional
6,19816,-3.76636472,33.36240982,non functional
7,54551,-4.22619802,32.62061707,non functional
8,53934,-5.14671181,32.71110001,non functional
16,48451,-9.10618458,34.64243884,non functional
17,58155,-9.08551497,34.56926611,non functional
28,19685,-3.2635263,37.61112572,non functional
35,57355,-3.29300336,36.61869946,non functional
36,67359,-9.63851993,33.85434473,non functional
39,25,-3.89456056,30.6133054,non functional
43,19282,-4.62892053,34.96778863,non functional
45,12958,-3.83899753,33.34526033,non functional
51,19308,-8.57166114,32.04683486,non functional
53,32376,-2e-08,0.0,non functional
55,68724,-3.35653763,37.34816881,non functional
57,22961,-3.33981163,36.72112734,non functional
61,40393,-4.647289499999999,38.37667127,non functional
63,8265,-3.35002587,36.94745079,non functional
65,51072,-5.17313618,34.62159801,non functional
67,22108,-1.2857798,30.71609028,non functional
68,4720,-8.88959406,34.55789311,non functional
69,54801,-4.47180947,29.76800862,non functional
70,21990,-8.93495018,35.81898147,non functional
71,17386,-8.57578037,34.46222769,non functional
72,41609,-8.60751263,34.24718,non functional
73,35715,-1.88801974,34.657034499999995,non functional
75,62971,-1.35148627,31.79687285,non functional
78,12903,-4.8348356,38.58082367,non functional
84,30423,-1.60969058,34.19057512,non functional
85,68717,-2.37877187,32.18551701,non functional
87,30537,-2.02646851,31.55890304,non functional
88,27312,-6.63869562,38.35356668,non functional
91,62591,-10.47656619,38.96294513,non functional
92,39920,-6.55790327,38.89040167,non functional
94,48593,-1.19438963,31.45311103,non functional
96,68554,-4.23637808,30.12668109,non functional
99,43206,-3.56601953,33.23583842,non functional
100,41743,-4.99423737,39.04298326,non functional
107,60371,-3.0251057,31.767300899999995,non functional
108,74246,-7.71054858,35.63048144,non functional
110,64063,-3.33074309,36.90832887,non functional
114,54248,-6.37279744,36.55702857,non functional
115,24409,-1.08048548,31.66327256,non functional
117,62341,-2.06349369,33.35647131,non functional
119,35458,-5.5923447,37.02381013,non functional
120,36038,-9.344921300000001,34.22303933,non functional
122,22897,-2.77016894,31.4647567,non functional
125,69525,-5.06726885,32.071081,non functional
128,33235,-3.77939282,32.95155946,non functional
129,41839,-2.69044203,32.99370088,non functional
136,69107,-9.09504292,32.41352249,non functional
137,64062,-10.13363156,39.88898115,non functional
140,49585,-9.59608383,33.86084491,non functional
142,64130,-5.41803094,32.78502522,non functional
144,38876,-6.86199999,37.88687839,non functional
148,53167,-10.02772132,39.6002343,non functional
152,60983,-6.98874758,39.52711433,non functional
153,37768,-1.72068493,34.56387749,non functional
155,32871,-10.91557638,37.41877342,non functional
161,36591,-8.68875072,32.06591365,non functional
167,48528,-5.10070113,30.90475149,non functional
171,44258,-7.80637606,31.779907799999997,non functional
174,67980,-6.64260892,36.70991445,non functional
177,56725,-2e-08,0.0,non functional
179,22190,-5.17227682,38.76743559,non functional
183,60866,-8.68938706,32.06802448,non functional
186,58126,-8.43639754,33.01476219,non functional
190,33347,-4.89751605,34.88475031,non functional
193,112,-6.60873088,38.34276796,non functional
197,37187,-3.08465534,37.59718978,non functional
198,26540,-2.15235319,33.50998861,non functional
201,20203,-4.49407781,34.89458362,non functional
205,34609,-1.33162743,31.77582328,non functional
208,34636,-6.63641192,38.23544422,non functional
210,75,-8.91716508,34.5688417,non functional
211,31626,-9.52747959,33.82643865,non functional
212,3181,-5.56948805,30.35823687,non functional
213,43098,-9.31914172,33.24244114,non functional
215,34853,-9.61165417,33.93868915,non functional
222,40729,-3.34985393,36.97044487,non functional
224,35140,-6.70497547,38.93735313,non functional
231,68347,-2.07363796,33.00023911,non functional
233,14952,-10.99280378,39.33063258,non functional
234,64334,-4.50268446,35.53081946,non functional
235,72374,-8.95920754,33.333789,non functional
236,33169,-4.20136566,33.2773436,non functional
239,59588,-5.12551864,38.97388970000001,non functional
240,46893,-6.09538776,36.83283068,non functional
241,16944,-2.47636967,31.73311371,non functional
242,35828,-6.03113722,35.62759083,non functional
243,24377,-4.9549518,39.09126059,non functional
245,70241,-1.31490138,31.80083428,non functional
249,35193,-7.36829284,39.24417821,non functional
252,18451,-3.2649629,37.5816604,non functional
255,10891,-3.91165507,32.50515031,non functional
256,33500,-2e-08,0.0,non functional
257,1012,-10.37243798,39.76790839,non functional
259,41162,-7.50921781,31.04447027,non functional
260,31957,-1.29523982,31.45223354,non functional
261,15815,-5.85530454,35.06630886,non functional
262,47462,-6.32118,35.63768716,non functional
263,28110,-3.75139073,33.0849318,non functional
265,18832,-3.39285751,36.76604605,non functional
270,50139,-9.45005507,33.69121711,non functional
271,36455,-5.630633,32.74750562,non functional
275,42497,-11.16676157,34.73579846,non functional
277,65530,-4.75461109,39.11013687,non functional
283,47236,-3.3307891000000005,36.65864318,non functional
286,46268,-3.2217387000000004,37.29307888,non functional
289,69669,-3.41197674,30.74937852,non functional
290,67377,-6.89558991,37.59776312,non functional
291,51185,-4.26244399,34.84539417,non functional
296,10992,-10.84665973,39.73445071,non functional
297,45886,-1.84987437,33.04857289,non functional
298,64793,-9.24781007,32.6262126,non functional
299,40808,-10.87666127,38.69103275,non functional
303,37364,-9.57524712,33.76897675,non functional
305,39310,-3.15255484,31.87632762,non functional
309,54009,-7.9593708,39.68832862,non functional
310,35563,-10.53104474,36.03263045,non functional
311,17668,-8.87481184,33.61237059,non functional
312,30390,-9.63286017,33.8783666,non functional
313,1298,-1.28905466,30.71672742,non functional
314,2993,-7.16541013,38.86287361,non functional
315,63712,-3.59878746,30.474380699999998,non functional
317,39704,-10.32095944,40.30198716,non functional
318,29191,-5.10821911,38.78345753,non functional
323,51403,-2e-08,0.0,non functional
325,21669,-7.97201012,31.36602526,non functional
329,13195,-5.92990107,36.04584041,non functional
330,54722,-9.94014777,38.36129061,non functional
336,33040,-5.63404591,35.70202678,non functional
337,40592,-9.21264691,34.41769364,non functional
342,21127,-6.23339413,36.55763103,non functional
345,10458,-3.3144532,37.52655685,non functional
347,8230,-3.1465134,36.77188524,non functional
356,29744,-3.52725556,36.83183178,non functional
358,26655,-8.95106078,33.72743813,non functional
360,51558,-6.22015672,36.41670102,non functional
361,48007,-5.84463878,37.04899808,non functional
364,39548,-4.50371347,30.20482368,non functional
374,15988,-9.0613773,34.58307637,non functional
375,19304,-8.14122174,39.18336934,non functional
386,73470,-7.45825658,33.42849515,non functional
387,11533,-4.27140543,32.81860519999999,non functional
391,17041,-8.86304324,32.04720198,non functional
393,39749,-6.90254757,39.15988725,non functional
394,62642,-3.26130463,37.51103348,non functional
397,65932,-10.66709242,39.30951061,non functional
398,56863,-10.99183394,36.04384037,non functional
400,34870,-10.92589018,38.11780585,non functional
403,70019,-9.44602467,33.82500278,non functional
404,20984,-2.99658524,33.09165496,non functional
410,5784,-7.36693972,30.62028881,non functional
411,42548,-8.66717288,34.85214846,non functional
412,5121,-7.13289579,36.93386583,non functional
415,3627,-9.72147456,34.47972070000001,non functional
417,15832,-6.93801296,39.17840407,non functional
422,39559,-6.72041799,39.04848579,non functional
424,25344,-7.75992386,38.83957764,non functional
425,2301,-3.2451682,37.35486229,non functional
426,32844,-3.20935984,35.94500825,non functional
427,59874,-1.21231446,31.82735182,non functional
428,50233,-6.97320593,39.17884933,non functional
431,43808,-3.80931874,33.01279745,non functional
435,66383,-3.44935828,37.41089685,non functional
437,29383,-3.6079163,33.46966096,non functional
438,36809,-7.65826289,39.14943018,non functional
440,72112,-9.61128322,37.97008233,non functional
441,34926,-9.99109379,38.96698938,non functional
450,38642,-10.90308413,39.57054828,non functional
453,12478,-3.45504725,36.85403955,non functional
456,45654,-8.08846585,36.69906756,non functional
461,3328,-6.40813861,38.67500341,non functional
466,40519,-11.09305121,37.17327799,non functional
468,45386,-9.52034219,37.8425512,non functional
469,43604,-5.59165039,38.51700167,non functional
471,1030,-6.33743009,31.1714637,non functional
475,30897,-9.49554502,34.77865965,non functional
478,14910,-3.11107714,37.59859374,non functional
483,60374,-3.35811482,36.67331251,non functional
485,6205,-7.10135725,39.40299419,non functional
486,48390,-3.59727464,36.66190504,non functional
487,3980,-6.12962635,36.984230200000006,non functional
489,45320,-9.50647981,35.00739367,non functional
494,11754,-3.69931833,33.92608597,non functional
495,4147,-10.79699534,36.96560789,non functional
498,68995,-10.80867395,39.00497633,non functional
499,32255,-6.5532638,38.98411519,non functional
502,70666,-3.24751324,33.447801500000004,non functional
503,26293,-7.09627911,39.43371534,non functional
504,44358,-3.24463312,37.60416022,non functional
505,64687,-3.64201467,30.83762891,non functional
506,71489,-1.48524922,33.98362709,non functional
508,42306,-7.66514101,31.55517538,non functional
510,11581,-10.6347662,38.60065259,non functional
515,28359,-5.27095179,38.84415565,non functional
523,38565,-10.92611097,38.11997743,non functional
525,21927,-8.83605681,33.24316217,non functional
526,60029,-10.29430628,40.18009415,non functional
532,65944,-6.5605825,38.89308551,non functional
535,67371,-8.68427697,34.46501624,non functional
537,42733,-6.90224954,37.56776372,non functional
538,4133,-8.98619944,33.6605602,non functional
539,50124,-8.78741457,35.80320256,non functional
540,69502,-6.72825787,38.83858791,non functional
542,52402,-9.15684326,33.83080117,non functional
545,19232,-3.25022121,37.59855768,non functional
547,48401,-7.35113771,36.28278515,non functional
549,59369,-8.78736302,36.35219160000001,non functional
551,13211,-5.08919537,34.88710801,non functional
555,36823,-6.84217298,33.25824958,non functional
563,68493,-3.27796788,37.60550564,non functional
564,5946,-9.0881705,34.98635681,non functional
565,27334,-5.99319228,36.69688079,non functional
570,58681,-10.90191427,39.11203037,non functional
574,63687,-6.78131392,38.85538191,non functional
575,49678,-10.80409189,35.07990174,non functional
576,57948,-7.31978574,38.90402162,non functional
577,42350,-9.72901698,34.79339337,non functional
578,4526,-7.27108392,38.790974299999995,non functional
580,70054,-4.10007773,32.89848608,non functional
584,68660,-3.23459106,33.13340374,non functional
585,64257,-3.56992741,30.62278791,non functional
586,46719,-7.83669775,31.51069241,non functional
587,17219,-4.27929971,38.05373317,non functional
589,14992,-3.48722933,36.81280558,non functional
590,56386,-1.92916438,32.87469644,non functional
592,13727,-1.38298879,34.66643661,non functional
593,22928,-4.48076136,38.07832005,non functional
594,63748,-4.34943584,34.34938384,non functional
602,45093,-6.14614159,36.1945552,non functional
603,45889,-3.15937362,33.32829159,non functional
605,15250,-7.75288928,31.06049127,non functional
608,71658,-5.25727852,38.54516639,non functional
609,48546,-8.93950556,33.19362237,non functional
611,49862,-3.55049322,36.91578552,non functional
616,21830,-1.49075217,33.98649901,non functional
617,18225,-9.51626067,35.00284765,non functional
