,id,status_group,longitude,latitude
30,65738,functional needs repair,35.6124173,-3.35116762
75,63059,functional needs repair,33.51920554,-3.13524663
105,17873,functional needs repair,32.30554915,-3.50805245
177,21621,functional needs repair,30.42759159,-4.27598594
199,49259,functional needs repair,36.980594399999994,-3.2681787
257,32352,functional needs repair,0.0,-2e-08
265,72934,functional needs repair,33.48332446,-4.2991057999999995
277,69045,functional needs repair,33.37040039,-3.04993128
300,70354,functional needs repair,36.10392509,-5.4796794
313,15234,functional needs repair,32.06441228,-3.34915799
330,68733,functional needs repair,33.19022516,-4.21466423
408,20126,functional needs repair,33.56061221,-9.2145227
409,51000,functional needs repair,30.50896232,-2.52455324
434,51412,functional needs repair,33.95582047,-9.500177800000001
446,13663,functional needs repair,0.0,-2e-08
478,51709,functional needs repair,36.71705888,-3.35589356
495,26718,functional needs repair,37.29019113,-6.42529681
506,39561,functional needs repair,38.86607565,-6.82280766
514,17299,functional needs repair,40.12614156,-10.43465942
536,23715,functional needs repair,33.24439574,-3.8615991999999997
543,9328,functional needs repair,33.00745824,-3.89016633
601,54171,functional needs repair,38.99613186,-6.4784051
603,42408,functional needs repair,31.50903497,-8.44907449
604,13151,functional needs repair,35.02009506,-11.01824068
630,47496,functional needs repair,35.11781745,-8.24900247
649,45204,functional needs repair,34.81430226,-10.55386919
667,51287,functional needs repair,31.68816826,-2.80819989
731,54735,functional needs repair,37.07472895,-3.01451022
823,69993,functional needs repair,31.62278481,-1.58105674
829,57481,functional needs repair,31.75363548,-1.2707855
839,8854,functional needs repair,39.03326101,-6.57839325
841,69272,functional needs repair,34.47341917,-9.60721367
869,35517,functional needs repair,33.13300385,-9.18971566
893,19241,functional needs repair,33.7915216,-9.50675562
897,20153,functional needs repair,37.922348299999996,-5.41948255
898,71684,functional needs repair,36.93173842,-7.73958097
934,30337,functional needs repair,38.87444204,-7.11890947
1024,372,functional needs repair,33.45273004,-2.15057199
1082,15225,functional needs repair,0.0,-2e-08
1156,42112,functional needs repair,34.22176705,-9.35045244
1163,3284,functional needs repair,39.18288292,-6.91296091
1171,37149,functional needs repair,34.73882098,-9.57612285
1196,66269,functional needs repair,33.95474102,-9.50026043
1197,45049,functional needs repair,35.85506461,-4.64259134
1255,66747,functional needs repair,36.35927649,-8.79247014
1318,8521,functional needs repair,31.66154291,-2.62465119
1380,67870,functional needs repair,36.57138212,-3.36832089
1386,60880,functional needs repair,29.79191723,-5.31977025
1403,50285,functional needs repair,39.73844033,-10.22393219
1406,47552,functional needs repair,34.38033417,-8.72809753
1444,61598,functional needs repair,0.0,-2e-08
1479,2413,functional needs repair,32.57416137,-3.82307613
1545,18133,functional needs repair,33.70370582,-3.27390492
1548,42966,functional needs repair,33.783024499999996,-3.06815994
1599,35160,functional needs repair,35.27618386,-8.07894262
1605,27946,functional needs repair,0.0,-2e-08
1612,39554,functional needs repair,39.666667,-9.55913368
1614,26384,functional needs repair,32.01061796,-5.12031233
1619,8586,functional needs repair,39.55099787,-10.68795964
1621,55556,functional needs repair,36.96949022,-7.67602192
1637,71690,functional needs repair,34.84718032,-4.49070063
1672,16649,functional needs repair,39.36306383,-6.91901492
1691,59974,functional needs repair,34.60372408,-10.51420248
1700,11289,functional needs repair,31.09116747,-7.63243741
1719,24528,functional needs repair,37.16365848,-3.20343578
1726,20430,functional needs repair,37.63808873,-3.04486944
1733,36023,functional needs repair,35.47418571,-7.91437309
1736,56132,functional needs repair,30.95030369,-1.64588654
1747,49307,functional needs repair,35.30220429,-9.38577979
1753,54115,functional needs repair,36.87580102,-3.1343711
1795,49091,functional needs repair,38.06450768,-4.6874761
1850,53995,functional needs repair,38.19222797,-4.6411093
1860,19440,functional needs repair,37.59272632,-3.23496848
1928,37779,functional needs repair,37.28629204,-3.22589751
2103,60368,functional needs repair,34.42598317,-1.7807938
2135,39146,functional needs repair,39.1935084,-6.90243001
2160,10117,functional needs repair,33.4720882,-3.59545355
2171,59141,functional needs repair,37.02205039,-3.20714769
2180,10295,functional needs repair,33.23315218,-2.7549080000000004
2227,6102,functional needs repair,33.00583196,-2.91303459
2235,69091,functional needs repair,31.25074346,-6.39180832
2274,74137,functional needs repair,34.36019588,-9.60651372
2290,48833,functional needs repair,30.53739784,-3.78652531
2314,31560,functional needs repair,35.28268379,-9.82866141
2327,39856,functional needs repair,39.21865441,-6.90337376
2349,60179,functional needs repair,36.81609444,-3.16804645
2436,31201,functional needs repair,31.22384276,-6.29927611
2437,28198,functional needs repair,37.10224613,-10.7031507
2439,45865,functional needs repair,34.71106309,-9.80461464
2467,61091,functional needs repair,36.85954466,-3.32771863
2524,62753,functional needs repair,33.56054177,-9.08694873
2555,365,functional needs repair,40.01237333,-10.34404898
2583,11032,functional needs repair,37.95817249,-4.4568909
2596,64942,functional needs repair,30.96680126,-1.28421269
2642,71256,functional needs repair,36.89985532,-3.36377418
2653,53011,functional needs repair,39.04724278,-8.59261757
2673,42527,functional needs repair,31.09503199,-3.09638441
2743,65465,functional needs repair,34.21179671,-1.2152447
2749,51656,functional needs repair,33.004587300000004,-8.45317946
2757,52313,functional needs repair,32.15085908,-3.67700167
