,id,latitude,longitude,status_group
18,34169,-1.94786801,32.92015381,functional needs repair
22,58500,-8.98001429,34.58690108,functional needs repair
25,22308,-3.31753648,37.42275132,functional needs repair
32,57238,-3.29062725,37.49233371,functional needs repair
44,1843,-3.47855934,36.80607857,functional needs repair
46,45111,-11.00060373,39.08741514,functional needs repair
59,31714,-1.56388609,31.45428168,functional needs repair
62,2127,-4.77975837,29.66972029,functional needs repair
81,65531,-7.02426273,37.72295310000001,functional needs repair
89,22143,-5.89186837,35.87817211,functional needs repair
90,43237,-4.7268495999999995,29.67098869,functional needs repair
98,33379,-10.80885305,35.54217277,functional needs repair
103,39364,-11.31324316,36.95075936,functional needs repair
146,73769,-1.59857903,31.65326799,functional needs repair
157,23519,-3.64330972,32.17244285,functional needs repair
188,67428,-8.93211477,33.72402918,functional needs repair
199,8879,-3.72624692,33.78466711,functional needs repair
204,10068,-2.5554992999999997,30.49985221,functional needs repair
214,37008,-4.14888473,37.82287905,functional needs repair
216,48752,-3.40154092,37.35509612,functional needs repair
219,28740,-9.03216574,33.10623082,functional needs repair
221,53212,-4.43495404,37.95878138,functional needs repair
232,14746,-4.64321463,34.98778437,functional needs repair
237,4907,-6.26635194,37.50789059,functional needs repair
238,49994,-8.568394699999999,33.0591187,functional needs repair
253,13042,-2e-08,0.0,functional needs repair
266,62720,-4.43681809,30.12658076,functional needs repair
279,18842,-7.68709583,31.35287524,functional needs repair
284,8633,-5.10506992,30.39148972,functional needs repair
307,28945,-9.3522683,33.59620292,functional needs repair
308,5074,-4.30052711,35.25506862,functional needs repair
319,35649,-8.642195599999999,34.29424585,functional needs repair
320,15840,-10.28367558,40.11676805,functional needs repair
321,45415,-2e-08,0.0,functional needs repair
352,68887,-8.61393801,34.33972708,functional needs repair
354,65238,-5.04209532,34.67761089,functional needs repair
355,17897,-8.56654494,33.45691647,functional needs repair
357,23987,-2.13334776,31.45298632,functional needs repair
377,66242,-6.17159079,36.23490716,functional needs repair
378,51611,-11.3119134,36.96195662,functional needs repair
381,24757,-3.30046366,37.33476236,functional needs repair
408,26943,-7.10013213,37.23667961,functional needs repair
414,58537,-3.79164451,37.64666821,functional needs repair
434,16872,-9.17665663,33.54222258,functional needs repair
442,59898,-7.85579928,36.89839974,functional needs repair
445,48102,-8.88165906,39.49151322,functional needs repair
480,49071,-2.90751657,36.25461787,functional needs repair
482,60074,-5.10792723,30.38713168,functional needs repair
492,9096,-1.21680448,31.62715349,functional needs repair
496,53577,-4.36732057,37.88986452,functional needs repair
511,14123,-4.50713784,30.10273337,functional needs repair
548,53972,-11.10229734,34.81910548,functional needs repair
559,70070,-9.89158573,35.34810051,functional needs repair
573,65476,-4.7475472000000005,29.69282676,functional needs repair
595,42195,-6.37243735,36.55646735,functional needs repair
596,36067,-4.76804596,29.64793205,functional needs repair
610,11957,-8.82302461,33.84952070000001,functional needs repair
618,25165,-4.6675996,38.26204353,functional needs repair
631,48033,-4.51556434,35.79284444,functional needs repair
643,11447,-9.25518964,38.99315731,functional needs repair
654,5060,-4.3241225,30.072180100000004,functional needs repair
655,29153,-9.90286201,39.11931398,functional needs repair
659,20625,-2e-08,0.0,functional needs repair
680,7936,-1.33369854,31.75404436,functional needs repair
691,25339,-4.60465381,35.8033711,functional needs repair
712,19574,-10.95524842,37.23245087,functional needs repair
733,36267,-2e-08,0.0,functional needs repair
738,42959,-9.94576837,39.32440422,functional needs repair
739,27736,-6.69601536,35.58055715,functional needs repair
742,37322,-4.51404171,37.91758089,functional needs repair
763,1604,-8.35209396,31.83729936,functional needs repair
764,53188,-2.95651324,34.14457925,functional needs repair
769,72282,-3.52802643,36.0554789,functional needs repair
770,69101,-4.64738099,35.04099551,functional needs repair
775,45744,-8.7387419,34.36963401,functional needs repair
817,38507,-9.25876893,35.14436364,functional needs repair
839,41985,-2e-08,0.0,functional needs repair
853,23465,-10.87275281,39.12516209,functional needs repair
870,72055,-4.850371099999999,38.32007958,functional needs repair
911,10085,-2e-08,0.0,functional needs repair
917,24638,-4.58862596,30.11035655,functional needs repair
934,22402,-9.61093958,34.47702934,functional needs repair
988,61131,-10.11053,34.68737093,functional needs repair
1004,73337,-1.70281431,34.52612476,functional needs repair
1012,34340,-8.45718989,33.01044865,functional needs repair
1037,15666,-10.03618671,39.44332781,functional needs repair
1043,46752,-7.59075173,31.26777601,functional needs repair
1064,13244,-5.6163702,30.48396889,functional needs repair
1119,44507,-4.847675499999999,36.04960648,functional needs repair
1156,7061,-10.89520831,38.99978027,functional needs repair
1212,32185,-9.34544681,33.62345704,functional needs repair
1227,62372,-2.45589926,30.81384286,functional needs repair
1249,63993,-11.13519696,35.15284153,functional needs repair
1256,33848,-2.41392966,30.778882399999997,functional needs repair
1257,73056,-4.64477741,29.75057892,functional needs repair
1269,20279,-7.7480886,31.35419274,functional needs repair
1283,9937,-7.07858148,37.77488641,functional needs repair
1291,25248,-2.95442908,34.04296148,functional needs repair
1314,64046,-7.682280099999999,36.96885696,functional needs repair
1317,62247,-2.48708461,33.01559667,functional needs repair
1343,58598,-6.2678265,31.07612991,functional needs repair
1376,16166,-4.69198422,29.71335558,functional needs repair
1377,5813,-1.50313819,30.88305945,functional needs repair
1411,43011,-8.82720725,36.0332745,functional needs repair
1423,70420,-1.59719272,31.52075955,functional needs repair
1483,53410,-2.42986524,30.59576791,functional needs repair
1503,14437,-3.76839075,33.6081602,functional needs repair
1528,30401,-9.21512588,35.21092272,functional needs repair
1542,4392,-4.91779512,34.7803486,functional needs repair
1546,30026,-5.38873924,37.26634902,functional needs repair
1574,5280,-3.55677799,33.56459862,functional needs repair
1582,23803,-4.88686188,32.21174827,functional needs repair
1590,989,-4.19252689,35.54054678,functional needs repair
1611,38862,-2e-08,0.0,functional needs repair
1615,57658,-2.95599811,30.91728680000001,functional needs repair
1624,37316,-4.45409358,35.82516768,functional needs repair
1628,1424,-2.00666636,33.07597123,functional needs repair
1629,44925,-2.04083538,33.00583861,functional needs repair
1635,33220,-8.42351832,35.41803171,functional needs repair
1648,61562,-4.835672799999998,38.32744276,functional needs repair
1661,45786,-3.53830192,34.02336747,functional needs repair
1666,18326,-2.92830443,34.1767865,functional needs repair
1671,8518,-4.2092871,37.88433957,functional needs repair
1672,7655,-3.60463396,34.28031857,functional needs repair
1684,55078,-2.87837578,34.09904301,functional needs repair
1698,57601,-1.33649437,31.66907787,functional needs repair
1714,38728,-4.32652367,30.08052818,functional needs repair
1730,48281,-6.37446983,31.15995228,functional needs repair
1736,58909,-3.35326674,32.07136201,functional needs repair
1759,21898,-7.76788929,36.91512724,functional needs repair
1772,35008,-10.9029795,39.35497915,functional needs repair
1775,19865,-3.3452242999999995,31.95866119,functional needs repair
1806,2508,-9.951662400000002,39.32700758,functional needs repair
1820,4567,-8.99695985,33.69077699,functional needs repair
1822,46474,-9.31729592,33.65554664,functional needs repair
1851,3516,-10.97439546,34.97406662,functional needs repair
1855,27633,-3.3189971,37.42206452,functional needs repair
1859,18678,-11.39912637,37.13650586,functional needs repair
1864,70332,-8.79534181,33.81592669,functional needs repair
1880,27387,-4.56752503,34.85759993,functional needs repair
1905,73130,-4.46431833,30.2968436,functional needs repair
1906,27256,-8.80230219,34.7660533,functional needs repair
1915,56187,-6.23300409,36.87009799,functional needs repair
1917,40321,-10.69572915,39.41918073,functional needs repair
1918,15239,-2e-08,0.0,functional needs repair
1928,34341,-4.732511,34.92383115,functional needs repair
1937,36984,-2e-08,0.0,functional needs repair
1948,21754,-7.0647695000000015,37.84764686,functional needs repair
1950,30958,-9.16347296,33.77507722,functional needs repair
1969,37854,-2e-08,0.0,functional needs repair
1989,25510,-2e-08,0.0,functional needs repair
1991,1908,-4.70385615,35.9222539,functional needs repair
1992,22539,-6.80521975,36.39278845,functional needs repair
2001,71699,-2e-08,0.0,functional needs repair
2002,5511,-4.46094633,37.94503039,functional needs repair
2021,10299,-3.71950956,32.12576291,functional needs repair
2025,55010,-7.24196371,37.79203542,functional needs repair
2029,49568,-8.71968913,33.81281429,functional needs repair
2036,56545,-6.83578947,38.13789021,functional needs repair
2038,33902,-4.78190872,29.72691205,functional needs repair
2052,54195,-4.32781075,30.07049675,functional needs repair
2062,54068,-2.98501958,34.05834569,functional needs repair
2105,56096,-10.69730044,35.98882173,functional needs repair
2106,25585,-3.47638431,36.80499718,functional needs repair
2109,47818,-5.43209478,33.64667481,functional needs repair
2122,15336,-3.74220515,35.72289459,functional needs repair
2124,73678,-4.24992437,30.18928688,functional needs repair
2167,33286,-2.0882238999999996,33.09796888,functional needs repair
2194,9225,-7.03141135,39.41312727,functional needs repair
2198,59299,-8.96211986,34.57575632,functional needs repair
2220,45612,-4.27987591,34.73132495,functional needs repair
2244,36279,-8.15018411,36.34123433,functional needs repair
2283,50975,-4.68334379,29.71241582,functional needs repair
2284,40442,-3.72800985,35.71731844,functional needs repair
2288,68384,-6.21672781,35.67520991,functional needs repair
2299,44442,-8.85749223,34.03827199,functional needs repair
2312,62348,-9.14988637,34.70268911,functional needs repair
2321,32260,-3.73928079,30.60019842,functional needs repair
2337,19146,-5.70909902,34.97618033,functional needs repair
2361,19925,-4.64892564,35.03279423,functional needs repair
2373,3010,-4.11458215,37.91230214,functional needs repair
2375,36989,-10.37154162,38.56913695,functional needs repair
2414,56724,-7.67821728,36.97011282,functional needs repair
2422,58343,-2e-08,0.0,functional needs repair
2424,57857,-2e-08,0.0,functional needs repair
2426,24372,-4.54627861,34.91496457,functional needs repair
2429,7980,-4.96224401,36.01714969,functional needs repair
2449,63537,-4.65560623,29.82593077,functional needs repair
2452,13958,-4.49353497,29.88602397,functional needs repair
2469,7726,-6.12630596,37.57831265,functional needs repair
2475,50155,-10.683769999999999,35.15062887,functional needs repair
2494,41442,-4.62587278,29.75552221,functional needs repair
2495,69424,-3.47477661,36.861914,functional needs repair
