,id,status_group,longitude,latitude
0,50785,functional,35.2907992,-4.05969643
1,51630,functional,36.65670893,-3.30921425
2,17168,functional,34.76786315,-5.00434437
3,45559,functional,38.05804609,-9.41867222
4,49871,functional,35.00612345,-10.950412
5,52449,functional,36.68527855,-3.30242017
6,24806,functional,36.39804116,-7.54138236
7,28965,functional,39.60741997,-10.89378645
10,419,functional,37.23324768,-3.24112116
11,45750,functional,37.68639178,-4.55597478
12,653,functional,33.66107435,-4.16572015
13,14017,functional,33.00768032,-3.2095291
14,44607,functional,35.61562385,-7.87029042
15,40228,functional,35.48288627,-10.91259619
16,27714,functional,39.85018977,-7.72794628
17,28785,functional,38.25402354,-4.5658015999999995
18,28330,functional,31.58679783,-3.38780779
19,18532,functional,39.43852591,-10.58336646
21,55083,functional,34.94362033,-9.35251465
22,8691,functional,31.04608844,-5.05419563
24,70970,functional,33.72235857,-3.04712172
26,28799,functional,35.42444315,-10.57968552
27,46825,functional,35.89487669,-6.14752205
28,44718,functional,0.0,-2e-08
31,3271,functional,32.86178245,-3.92819891
32,42658,functional,33.12453405,-4.85766882
33,67523,functional,35.66507527,-3.34770932
34,37034,functional,34.72199105,-8.86253212
35,42432,functional,34.70534261,-9.139496099999999
38,48489,functional,37.47632192,-6.28331307
39,51008,functional,33.32603356,-8.88128573
40,72562,functional,40.04071287,-10.49203103
44,8813,functional,33.13082951,-3.22665421
48,10352,functional,33.66386327,-8.98179247
49,50878,functional,33.77857064,-3.06340514
50,15266,functional,33.58724528,-9.16743357
51,51956,functional,38.4236917,-4.6312447
52,44099,functional,37.12085919,-10.78502855
53,59,functional,33.59072198,-3.71955244
54,51359,functional,39.56082776,-9.13206159
56,17853,functional,33.06230846,-1.82664599
57,42040,functional,37.55433946,-3.28942377
58,72243,functional,35.99024647,-10.53404797
59,63653,functional,36.61868919,-3.29203785
63,51897,functional,34.85944848,-4.97090922
64,20376,functional,35.10908924,-8.18809279
65,26804,functional,36.50348726,-8.55105463
66,67303,functional,36.80143513,-3.45135176
70,39341,functional,30.12795597,-4.24867926
71,8869,functional,37.45782761,-11.20866259
74,14321,functional,31.9968789,-8.80386259
77,28912,functional,37.22600343,-3.27103862
78,12549,functional,35.56741628,-6.33698054
80,13750,functional,32.0400396,-4.99156819
81,1574,functional,38.46742948,-4.8647269
82,44149,functional,31.36783688,-1.06107072
83,53917,functional,31.12892305,-1.69420356
84,22705,functional,36.88065592,-3.31430939
85,66465,functional,32.05069828,-3.41259554
86,15644,functional,31.83376051,-1.11325712
87,20773,functional,35.82452906,-5.30269309
89,54392,functional,37.47908238,-3.81858443
90,37850,functional,38.90647215,-6.74295268
92,60840,functional,35.87050076,-4.13979616
94,57508,functional,36.64437721,-6.81836802
97,38181,functional,33.91513217,-9.19113626
98,24325,functional,37.61832784,-6.13357212
99,2724,functional,31.53064308,-1.52024104
100,34794,functional,31.14227776,-6.61124387
104,23387,functional,38.91481877,-8.78594686
106,18197,functional,34.97643178,-8.82935561
110,44384,functional,35.02234242,-4.18404892
111,62096,functional,32.94718642,-4.99483567
112,64554,functional,39.08342696,-7.0035038
113,68314,functional,35.56771838,-7.94158325
118,43162,functional,34.85774806,-4.96565066
122,60335,functional,37.47825262,-3.2671678
124,67891,functional,38.35640398,-6.64287516
126,55293,functional,34.23757868,-9.38027549
127,31866,functional,37.27313434,-3.28468532
132,48308,functional,32.75733701,-3.94044709
135,30309,functional,34.07442773,-2.99369841
136,8015,functional,32.92057868,-2.47456022
139,68616,functional,0.0,-2e-08
140,8646,functional,35.7588964,-10.515310099999999
142,37501,functional,39.24118301,-10.87948265
143,33001,functional,33.18150167,-4.20028394
145,68409,functional,37.15330819,-3.33484802
146,51847,functional,36.15989877,-5.56955781
147,55647,functional,32.97098153,-3.73365859
149,71743,functional,38.86003518,-6.7832854000000005
150,51539,functional,0.0,-2e-08
151,73819,functional,35.75457603,-6.33126372
154,2648,functional,31.32170771,-2.66167239
155,68933,functional,34.84589302,-11.32726797
159,58551,functional,35.94820405,-6.14209678
161,3027,functional,30.86837823,-3.37881268
162,2651,functional,34.7093461,-5.19063734
163,25998,functional,39.66918663,-10.858004699999999
164,63400,functional,36.98730137,-3.25011669
165,50028,functional,36.00487589999999,-6.21749098
168,71756,functional,33.23557581,-3.85032443
169,16862,functional,37.03823817,-3.19868895
170,15420,functional,35.1018841,-9.19269342
