,id,latitude,longitude,status_group
0,69572,-9.85632177,34.93809275,functional
1,8776,-2.14746569,34.6987661,functional
2,34310,-3.82132853,37.46066446,functional
4,19728,-1.82535885,31.13084671,functional
5,9944,-4.76558728,39.1727956,functional
9,46144,-1.25705061,30.62699053,functional
10,49056,-7.03413939,39.20951812,functional
11,50409,-10.57417468,35.77025785,functional
12,36957,-3.2901937999999995,33.79810612,functional
13,50495,-3.1817832999999998,37.09257412,functional
14,53752,-3.62933335,34.36407268,functional
15,61848,-8.27496163,31.44412134,functional
19,18274,-9.8944125,34.50896732,functional
20,48375,-9.59498965,34.47342985,functional
21,6091,-2e-08,0.0,functional
23,37862,-4.12559468,37.94002949,functional
24,51058,-4.49556758,29.74706567,functional
26,55012,-9.94253166,39.37077651,functional
27,20145,-1.73536124,31.10425712,functional
29,69124,-3.19198926,37.06168837,functional
30,46804,-5.79099991,36.1083125,functional
31,6696,-6.63610419,38.36355454,functional
33,12402,-9.71590954,34.47835586,functional
34,41583,-7.889986299999999,39.81291224,functional
37,60048,-4.6479063,35.85837259,functional
38,16583,-8.22439872,35.89026429,functional
40,70238,-3.47684942,37.42002692,functional
41,12796,-9.20464923,33.92790176,functional
42,52019,-9.03250291,34.81457364,functional
47,13620,-9.17290468,33.5406067,functional
48,18864,-8.22756303,35.87141325,functional
49,25182,-9.18987766,34.44128349,functional
50,3228,-3.34929238,37.37285829,functional
52,10745,-9.44812238,33.95816322,functional
54,9417,-1.68065404,30.98302258,functional
56,74197,-3.36819761,37.47943592,functional
58,24593,-3.80687858,35.56134607,functional
60,29952,-5.11324963,38.78943655,functional
64,67433,-4.30776106,34.76272634,functional
66,34255,-9.203522099999999,34.89725735,functional
74,53970,-4.27996794,30.41995839,functional
76,63542,-9.3264772,34.68047144,functional
77,15622,-3.55703413,36.93165941,functional
79,52561,-3.36190077,32.25500494,functional
80,19415,-9.27156548,34.28447604,functional
82,3675,-3.3747906000000003,36.75793224,functional
83,34383,-3.36161167,33.53890869,functional
86,3688,-7.91231657,35.73447433,functional
93,70892,-4.44803987,35.51217404,functional
95,26419,-4.34106206,30.21673046,functional
97,29083,-3.00965923,33.0795039,functional
101,17970,-4.09374985,34.56343795,functional
102,25693,-3.55486258,30.65026741,functional
104,57580,-3.21646394,37.17489041,functional
105,23000,-3.56996907,37.61640658,functional
106,59902,-3.26949691,33.69790014,functional
109,7116,-9.1306743,33.80508085,functional
111,59983,-3.3445666,36.87553547,functional
112,10784,-3.26790435,31.48904738,functional
113,49503,-9.26648533,33.23267014,functional
116,21068,-6.82950072,37.48747402,functional
118,10837,-2.02266257,34.44864527,functional
121,64447,-1.42926609,31.57239755,functional
123,2915,-2.55618033,36.77862138,functional
124,14016,-9.29061569,33.87310388,functional
126,73061,-5.18676616,34.71064345,functional
127,42031,-9.31731152,34.64835709,functional
130,62002,-2.93012242,31.6012707,functional
131,6106,-3.49366766,36.84150658,functional
132,25915,-8.68481006,33.86126585,functional
133,20673,-4.07660522,32.54432125,functional
134,59475,-4.4646702000000005,38.32726235,functional
135,24012,-9.69622598,34.68859705,functional
138,44002,-3.06136744,31.19411613,functional
139,37471,-2.78450823,31.64732214,functional
141,60852,-6.771698700000001,37.82346185,functional
143,17687,-6.29976667,37.44310991,functional
145,28669,-6.89259326,39.1857105,functional
147,66521,-8.91132497,34.98887131,functional
149,24232,-8.69424705,34.35839958,functional
150,65788,-1.24644694,34.45547821,functional
151,72981,-8.77994557,33.78421925,functional
154,64880,-4.46052001,29.80857829,functional
156,45564,-8.928838699999998,33.54480544,functional
158,50173,-3.12214007,34.08915375,functional
159,66843,-9.70159734,39.55938321,functional
160,13815,-8.86866011,34.94546531,functional
